16384000.000000 16384000.000000 16384000.000000 16384000.000000 16384000.000000 
32768000.000000 32768000.000000 32768000.000000 32768000.000000 32768000.000000 
47762029.419824 46105184.957283 44936177.682210 46346987.615533 47057787.292138 
47978470.598398 45767504.485196 49838020.350119 47612128.538798 46498559.691220 
46655652.014445 48460182.435550 48020643.249178 45387329.776737 42191745.827694 
48544250.258884 48891481.739551 46883271.603820 49464915.052623 49567349.606024 
48914367.017263 47649396.696351 45705777.822767 42444323.467727 47036802.048673 
47312809.169167 49784978.664991 48254549.818832 48078732.445771 48938414.407620 
48503571.914927 49543276.281647 49066444.476315 50151673.303968 46249925.115495 
49243109.601384 48810235.611273 48568699.631170 46706618.918575 49435298.867218 
