14612849.568099 14672365.820480 14597564.637257 14589206.622844 14634059.200772 
27332792.260602 27434534.459359 28417137.351521 27277071.044583 27013480.359828 
38721540.038334 38582210.517640 39085368.035593 38918867.558505 38277452.343980 
48270934.763234 47889314.419042 46876687.617261 48099745.908630 44163570.176112 
57255723.126084 52969821.039339 56849765.196313 57623589.657016 58239312.958105 
59152783.678106 63937394.634420 66088766.442525 65100693.363708 66429790.690477 
72818609.990463 70703278.398474 68644250.906325 74289127.001709 74528284.721338 
77535970.829363 83003664.720213 76576805.533403 81172452.445757 78302287.500680 
88033800.738272 89781409.885234 89992749.607576 89744416.840224 87259970.873103 
88590080.008997 94195403.719638 93483326.600525 93839169.834922 92337675.000014 
