16384000.000000 16384000.000000 16384000.000000 16384000.000000 16384000.000000 
32768000.000000 32768000.000000 32768000.000000 32768000.000000 32768000.000000 
49152000.000000 49152000.000000 49152000.000000 49152000.000000 49152000.000000 
65536000.000000 65536000.000000 65536000.000000 65536000.000000 65536000.000000 
81920000.000000 81920000.000000 81920000.000000 81920000.000000 81920000.000000 
98304000.000000 98304000.000000 98304000.000000 98304000.000000 98304000.000000 
114688000.000000 114688000.000000 114688000.000000 114688000.000000 110698108.090108 
124011645.014395 124353078.799390 124605474.305445 110787290.295969 110787290.295969
122890036.019608 129189394.722594 122930708.917428 103659608.211447 123193424.604431 
124346543.129671 118932942.697464 113160424.793626 116756195.902986 125988514.621250 
