16384000.000000 16384000.000000 16384000.000000 16384000.000000 16384000.000000 
32768000.000000 32768000.000000 32768000.000000 32768000.000000 32768000.000000 
49152000.000000 49152000.000000 49152000.000000 49152000.000000 49152000.000000
65536000.000000 65536000.000000 65536000.000000 62952976.424333 65536000.000000 
70986514.988449 70433373.313214 72735731.872226 73280454.281566 62584713.525833
68362849.397833 61028969.887806 62584713.525833 71609695.689388 71609695.689388
71810021.019308 71223988.414178 67701879.853484 68049313.917570 68049313.917570
71155081.183522 71510915.791685 71157012.634561 70158460.316407 71393905.656030 
73038588.760688 72180062.470293 71847779.533498 69571387.860865 67468261.009416 
70849760.367464 70952576.448110 72192526.328637 69671653.621659 71852243.299484 
