rtt,thput,total_time,total_data
0.326400,20078431.372549,8979999,6553600
0.287025,22262032.923961,9175999,6389760
0.294850,22226895.031372,9407999,6553600
0.611076,12199333.634442,9375999,7454720
0.612282,13245661.312924,9539999,8110080
0.291088,22232726.872973,9543999,6471680
0.363100,18049022.307904,9495999,6553600
0.394048,17047263.277570,9439999,6717440
0.556583,14129644.635212,9631999,7864320
0.367180,18517784.193039,9435999,6799360
0.332717,19204789.656074,9463999,6389760
0.649269,13121957.154893,9735999,8519680
0.654923,13008674.302170,9719999,8519680
0.506482,14071655.063754,9543999,7127040
0.602828,13453389.689928,9647999,8110080
0.446886,14481724.645659,9539999,6471680
0.667339,12643888.638308,9723999,8437760
0.407500,16082453.987730,9439999,6553600
0.379951,17895360.191183,9583999,6799360
0.680235,12283754.878829,9731999,8355840
0.361108,18829159.143525,9479999,6799360
0.676155,12479032.174575,9759999,8437760
0.422666,15699204.572878,9495999,6635520
0.682446,12363996.565296,9659999,8437760
0.631276,12198277.773906,9647999,7700480
0.614530,13063902.494589,9619999,8028160
0.698930,11837980.913682,9671999,8273920
0.688862,12129918.619404,9623999,8355840
0.392550,16694943.319322,9507999,6553600
0.616775,13016351.181549,9583999,8028160
0.686769,12405452.197173,9683999,8519680
0.303027,20005082.055394,9511999,6062080
0.465142,14793933.895456,9587999,6881280
0.651405,12701652.581727,9759999,8273920
0.272712,21928481.328288,9579999,5980160
0.493976,14096231.395857,9547999,6963200
0.425813,14428869.010575,9539999,6144000
0.446133,13771677.952539,9563999,6144000
0.517545,13929146.257813,9539999,7208960
0.620478,12146506.403128,9543999,7536640
0.593178,13119839.238812,9571999,7782400
0.716554,11546819.918666,9659999,8273920
0.712431,11728630.562118,9519999,8355840
0.596192,11404648.167033,9559999,6799360
0.688554,12016370.538839,9651999,8273920
0.365534,16360065.000793,9555999,5980160
0.609075,12508410.294299,9547999,7618560
0.321894,19341522.364505,9527999,6225920
0.402074,16503230.748569,9523999,6635520
0.440229,16189392.338987,9535999,7127040
0.623063,12359071.233567,9503999,7700480
0.428810,15092185.350155,9491999,6471680
0.505873,12793092.337405,9495999,6471680
0.402782,14033596.337473,9483999,5652480
0.554510,13886999.332744,9607999,7700480
0.412405,15692535.250543,9507999,6471680
0.737821,11213993.638023,9571999,8273920
0.714666,11691951.205178,9671999,8355840
0.746480,10974172.114457,9555999,8192000
0.742588,11252322.957010,9531999,8355840
0.217743,29345420.977942,8768000,6389760
0.209060,32523486.080551,9472000,6799360
0.313395,22480001.276345,9412000,7045120
0.253209,27823339.612731,9804000,7045120
0.289168,25213301.610137,9936000,7290880
0.388977,18954334.060883,9712000,7372800
0.399120,18677891.360994,9976000,7454720
0.508916,15453080.665572,10076000,7864320
0.569009,14828869.139152,10100000,8437760
0.544791,13683632.805975,10032000,7454720
0.591240,13855625.465124,10108000,8192000
0.555372,15045483.027592,10088000,8355840
0.540840,15146808.667998,10080000,8192000
0.357287,19947661.123970,9852000,7127040
0.588961,14465609.777218,10060000,8519680
0.596240,13739433.785053,10084000,8192000
0.588547,13223073.093568,10020000,7782400
0.602627,13865691.381236,10056000,8355840
0.297666,23117453.790490,10064000,6881280
0.569292,14245905.440442,10068000,8110080
0.601818,13475967.817513,10068000,8110080
0.591184,14272646.079732,10072000,8437760
0.520323,15586625.999619,10052000,8110080
0.355953,19792275.946544,9900000,7045120
0.514734,12572862.876748,9032000,6471680
0.496255,15517183.705958,9948000,7700480
0.606920,13497660.317670,10080000,8192000
0.508164,15637156.508529,10068000,7946240
0.315951,21261018.322461,9920000,6717440
0.622192,13693007.946100,9988000,8519680
0.466620,15273755.947023,9952000,7127040
0.630834,13375563.143394,9984000,8437760
0.408571,16842311.373054,9920000,6881280
0.436086,17282462.633517,9980000,7536640
0.444091,16048602.651258,9920000,7127040
0.639148,12048038.951855,9948000,7700480
0.619207,13362122.844218,9972000,8273920
0.645807,13192300.486059,9964000,8519680
0.481578,12928165.323167,9172000,6225920
0.756164,10508619.823213,9264000,7946240
0.446025,14509679.950675,9176000,6471680
0.724387,10517251.137859,9324000,7618560
0.806615,10562263.285458,9320000,8519680
0.817307,10424087.888639,9260000,8519680
0.717609,9931648.014448,9260000,7127040
0.815361,9444258.432768,9300000,7700480
0.433679,15300533.343787,9280000,6635520
0.645013,9525389.410756,9276000,6144000
0.672395,11086816.528975,9240000,7454720
0.705642,11028821.980551,9248000,7782400
0.560476,12277564.070540,9216000,6881280
0.581818,10841603.388001,9272000,6307840
0.262260,21552962.708762,9232000,5652480
0.451052,13803109.175882,9280000,6225920
0.750640,10913353.937973,9312000,8192000
0.644096,10556438.791733,9232000,6799360
0.558712,12756196.394565,9252000,7127040
0.782653,10257623.748967,9224000,8028160
0.829153,10275160.314200,9196000,8519680
0.679284,11456769.186379,9328000,7782400
