96725 73961 97098 79554 75869 91502 82037 83557 80635 74127 72905 
167078 135715 136028 150826 145611 188601 185547 135218 134814 137683 143200 
208272 218089 207253 276685 220378 261136 263533 201618 225224 196336 199894 
300774 319448 328123 278578 271499 301373 374805 273412 285076 304148 272997 
333310 334081 329928 339460 355273 365174 335295 487016 457513 340030 465598 
407155 405787 388248 397479 399400 424328 435546 445758 416574 392578 395511 
465861 472806 461967 495917 472915 475541 480576 491654 527546 495253 657541 
538634 530574 538404 554936 556821 736921 558065 531379 557233 531656 566014 
602622 828763 650711 607420 830606 710604 774002 607058 638828 595779 710604
649322 668954 650385 648851 654947 650356 735176 662282 652444 671795 680894

