rtt,thput,total_time,total_data
0.007922,1065104771.522343,7928000,8437760
0.006560,1248780487.804878,7944000,8192000
0.007533,1120106199.389354,7936000,8437760
0.010322,738089517.535361,7916000,7618560
0.008269,1030315636.715443,7956000,8519680
0.007215,1158120582.120582,7952000,8355840
0.005450,1533181651.376147,7984000,8355840
0.007961,1059886948.875769,7944000,8437760
0.007538,1130230830.459008,7952000,8519680
0.009786,862227672.184754,7960000,8437760
0.009160,894323144.104804,7956000,8192000
0.008313,1005153374.233129,7924000,8355840
0.006222,1303452266.152363,7924000,8110080
0.008375,939023283.582090,7940000,7864320
0.007560,1083597883.597884,7956000,8192000
0.010990,767767060.964513,7924000,8437760
0.007019,1190460179.512751,7956000,8355840
0.007844,1075696073.431922,7944000,8437760
0.006811,1214787843.194832,7980000,8273920
0.007920,1044686868.686869,7984000,8273920
0.007240,1131491712.707182,7992000,8192000
0.011067,762425228.155778,7968000,8437760
0.008038,1059925354.565812,7944000,8519680
0.007600,1077894736.842105,7944000,8192000
0.006613,1251159836.685317,7932000,8273920
0.006576,1295571776.155718,7944000,8519680
0.005165,1633641819.941917,7924000,8437760
0.006718,1255992855.016374,7980000,8437760
0.007529,1109820693.319166,7948000,8355840
0.006626,1223978267.431331,7936000,8110080
0.006563,1285655950.022855,7944000,8437760
0.006693,1236204990.288361,7936000,8273920
0.006431,1299306484.217073,8000000,8355840
0.006613,1251159836.685317,7952000,8273920
0.006343,1278587419.202270,7940000,8110080
0.007469,1074864104.967198,7944000,8028160
0.007836,1024522715.671261,7956000,8028160
0.007500,1048576000.000000,7972000,7864320
0.005188,1594818812.644564,7952000,8273920
0.006627,1260878225.441376,7904000,8355840
0.007137,1170777637.662884,7968000,8355840
0.008454,852727702.862550,7944000,7208960
0.007536,1032696390.658174,7884000,7782400
0.007533,1120106199.389354,7968000,8437760
0.006291,1341243045.620728,7976000,8437760
0.006320,1296202531.645570,7904000,8192000
0.004846,1758085018.572018,7952000,8519680
0.006732,1229043374.925728,7956000,8273920
0.008400,975238095.238095,7960000,8192000
0.007377,999430662.871086,7956000,7372800
0.007120,1150561797.752809,7960000,8192000
0.008080,1003722772.277228,7972000,8110080
0.006560,1248780487.804878,7996000,8192000
0.008041,988215396.095013,7920000,7946240
0.007183,1117661144.368648,7960000,8028160
0.007086,1063595822.749083,7936000,7536640
0.007663,1015581365.000653,7980000,7782400
0.004846,1758085018.572018,7996000,8519680
0.006941,1203838063.679585,7972000,8355840
0.007805,1081071108.263933,7976000,8437760
0.227894,27319367.776247,9164000,6225920
0.262578,23710744.997677,9548000,6225920
0.357934,20827079.852710,9296000,7454720
0.296051,21583308.281343,9464000,6389760
0.491162,14343780.667071,9440000,7045120
0.476285,16855790.125660,9744000,8028160
0.410533,17959092.204524,9724000,7372800
0.413272,17443620.666292,9864000,7208960
0.192097,34969000.036440,9780000,6717440
0.522383,15525160.657985,9908000,8110080
0.502307,16961101.477782,9916000,8519680
0.510834,16517616.290223,9852000,8437760
0.262341,25605757.392097,9828000,6717440
0.515844,16357193.259978,9876000,8437760
0.371595,19620500.814058,9868000,7290880
0.488536,13750143.285244,9868000,6717440
0.579913,13137418.888695,9880000,7618560
0.527922,15982967.180758,9924000,8437760
0.423291,18578991.757443,9904000,7864320
0.548040,14947814.028173,9876000,8192000
0.461670,16147291.355297,9884000,7454720
0.462141,17548929.872052,9872000,8110080
0.416000,17526153.846154,9876000,7290880
0.529821,15616444.044309,9900000,8273920
0.571265,14053302.757914,9880000,8028160
0.557600,14691535.150646,9908000,8192000
0.557769,15274567.069880,9792000,8519680
0.379717,18337867.411783,9660000,6963200
0.355288,20751615.590732,9772000,7372800
0.537052,11592769.415252,9712000,6225920
0.619391,12167822.909923,9792000,7536640
0.540349,15615389.313203,9788000,8437760
0.353679,18761419.253051,9748000,6635520
0.589978,13191000.342386,9784000,7782400
0.652000,11056687.116564,9772000,7208960
0.283132,24014805.814956,9736000,6799360
0.541333,15435674.529356,9804000,8355840
0.561254,14887804.808518,9812000,8355840
0.569040,14396176.015746,9800000,8192000
0.460428,14945398.629102,9740000,6881280
0.550784,15170811.062050,9808000,8355840
0.604157,10305135.916657,9744000,6225920
0.502375,15654282.159741,9756000,7864320
0.514440,15924111.655392,9724000,8192000
0.670367,11975768.496958,9052000,8028160
0.610930,11531795.786751,9020000,7045120
0.682739,8759071.914743,9040000,5980160
0.606975,11067078.545245,9044000,6717440
0.673402,11800143.153718,9028000,7946240
0.725764,11513164.058840,9064000,8355840
0.732310,11522114.951318,9016000,8437760
0.611452,12727736.600747,9052000,7782400
0.509350,12384097.379012,9040000,6307840
0.688440,11899366.684097,9008000,8192000
0.710217,11649847.863399,9100000,8273920
0.702795,10840373.081766,9004000,7618560
0.727954,9903043.324166,9060000,7208960
0.698772,11840657.610780,9000000,8273920
0.692237,11952438.254528,9084000,8273920
0.768979,10440025.020189,9072000,8028160
